Model,Pretrain,Fine-tuned,Split,mAP@0.5,mAP@0.5:0.95,Precision,Recall,FPS,Notes
yolov9c,COCO,False,val,0.0016,0.0004,0.0216,0.0703,151.8,
rtdetr-r50vd,COCO,False,val,0.0062,0.0020,0.0325,0.0692,9.4,
fasterrcnn-resnet50-fpn,COCO,False,val,0.0027,0.0018,0.0202,0.0010,10.5,
